,0
0,513520
1,513536
2,513536
3,513536
4,513536
5,513536
6,513552
7,513536
8,513536
9,513520
10,513504
11,513520
12,513520
13,513536
14,513536
15,513520
16,513520
17,513520
18,513536
19,513520
20,513520
21,513536
22,513552
23,513536
24,513536
25,513520
26,513536
27,513536
28,513520
29,513520
30,513536
31,513536
32,513504
33,513520
34,513536
35,513536
36,513520
37,513536
38,513536
39,513536
40,513520
41,513536
42,513520
43,513520
44,513504
45,513520
46,513520
47,513520
48,513536
49,513520
50,513520
51,513552
52,513520
53,513536
54,513504
55,513520
56,513520
57,513520
58,513520
59,513536
60,513536
61,513536
62,513536
63,513536
64,513536
65,513536
66,513536
67,513536
68,513536
69,513536
70,513520
71,513536
72,513520
73,513520
74,513504
75,513520
76,513536
77,513536
78,513536
79,513520
80,513504
81,513520
82,513504
83,513504
84,513504
85,513504
86,513520
87,513504
88,513504
89,513520
90,513520
91,513536
92,513520
93,513536
94,513520
95,513504
96,513536
97,513520
98,513504
99,513536
100,513536
101,513520
102,513504
103,513536
104,513536
105,513520
106,513536
107,513552
108,513536
109,513520
110,513520
111,513552
112,513552
113,513520
114,513536
115,513504
116,513520
117,513536
118,513520
119,513536
120,513520
121,513536
122,513504
123,513520
124,513520
125,513536
126,513504
127,513504
128,513536
129,513536
130,513488
131,513520
132,513504
133,513536
134,513504
135,513504
136,513504
137,513520
138,513520
139,513488
140,513504
141,513536
142,513536
143,513488
144,513504
145,513520
146,513504
147,513504
148,513504
149,513504
150,513520
151,513520
152,513520
153,513504
154,513504
155,513504
156,513504
157,513536
158,513552
159,513488
160,513488
161,513520
162,513536
163,513504
164,513520
165,513536
166,513536
167,513520
168,513504
169,513520
170,513536
171,513536
172,513520
173,513536
174,513536
175,513520
176,513520
177,513520
178,513520
179,513504
180,513520
181,513536
182,513520
183,513504
184,513520
185,513504
186,513520
187,513520
188,513520
189,513536
190,513536
191,513536
192,513536
193,513520
194,513520
195,513520
196,513488
197,513520
198,513536
199,513504
200,513536
201,513536
202,513536
203,513520
204,513536
205,513504
206,513504
207,513536
208,513520
209,513520
210,513536
211,513552
212,513504
213,513520
214,513520
215,513536
216,513536
217,513536
218,513536
219,513520
220,513536
221,513520
222,513520
223,513536
224,513536
225,513552
226,513520
227,513536
228,513536
229,513536
230,513520
231,513520
232,513536
233,513536
234,513520
235,513520
236,513536
237,513536
238,513536
239,513520
240,513536
241,513520
242,513520
243,513536
244,513536
245,513536
246,513536
247,513536
248,513520
249,513552
250,513536
251,513536
252,513520
253,513520
254,513536
255,513520
256,513536
257,513520
258,513536
259,513536
260,513504
261,513552
262,513536
263,513536
264,513520
265,513520
266,513536
267,513536
268,513520
269,513536
270,513520
271,513520
272,513536
273,513536
274,513504
275,513536
276,513504
277,513536
278,513504
279,513552
280,513504
281,513536
282,513536
283,513504
284,513504
285,513536
286,513536
287,513504
288,513520
289,513520
290,513536
291,513520
292,513536
293,513520
294,513520
295,513536
296,513520
297,513536
298,513536
299,513536
300,513520
301,513520
302,513520
303,513520
304,513520
305,513536
306,513536
307,513536
308,513536
309,513536
310,513552
311,513536
312,513552
313,513536
314,513536
315,513520
316,513552
317,513552
318,513536
319,513536
320,513536
321,513536
322,513520
323,513552
324,513520
325,513536
326,513504
327,513520
328,513536
329,513520
330,513536
331,513536
332,513552
333,513552
334,513552
335,513536
336,513520
337,513552
338,513552
339,513536
340,513536
341,513568
342,513536
343,513552
344,513536
345,513520
346,513520
347,513552
348,513536
349,513536
350,513536
351,513536
352,513552
353,513536
354,513552
355,513568
356,513536
357,513536
358,513536
