,0
0,537760
1,537744
2,537728
3,537760
4,537744
5,537744
6,537744
7,537760
8,537760
9,537744
10,537744
11,537760
12,537760
13,537728
14,537744
15,537728
16,537728
17,537728
18,537760
19,537728
20,537728
21,537728
22,537760
23,537744
24,537744
25,537728
26,537744
27,537744
28,537760
29,537744
30,537744
31,537792
32,537744
33,537728
34,537712
35,537744
36,537728
37,537728
38,537728
39,537728
40,537728
41,537728
42,537744
43,537760
44,537728
45,537696
46,537728
47,537744
48,537712
49,537728
50,537728
51,537744
52,537728
53,537712
54,537728
55,537728
56,537776
57,537776
58,537728
59,537744
60,537744
61,537760
62,537760
63,537712
64,537760
65,537728
66,537744
67,537744
68,537744
69,537728
70,537744
71,537744
72,537744
73,537728
74,537744
75,537728
76,537744
77,537744
78,537792
79,537728
80,537744
81,537728
82,537728
83,537728
84,537744
85,537712
86,537760
87,537728
88,537744
89,537760
90,537728
91,537728
92,537728
93,537728
94,537728
95,537760
96,537760
97,537728
98,537744
99,537760
100,537728
101,537744
102,537744
103,537728
104,537760
105,537760
106,537744
107,537744
108,537776
109,537744
110,537744
111,537728
112,537728
113,537728
114,537728
115,537728
116,537744
117,537760
118,537712
119,537728
120,537728
121,537728
122,537760
123,537744
124,537760
125,537728
126,537728
127,537728
128,537760
129,537744
130,537744
131,537728
132,537712
133,537728
134,537728
135,537728
136,537728
137,537728
138,537712
139,537728
140,537760
141,537760
142,537760
143,537728
144,537712
145,537744
146,537744
147,537728
148,537728
149,537760
150,537744
151,537760
152,537744
153,537744
154,537760
155,537728
156,537744
157,537728
158,537728
159,537728
160,537744
161,537760
162,537744
163,537760
164,537760
165,537728
166,537744
167,537760
168,537760
169,537728
170,537712
171,537744
172,537728
173,537728
174,537760
175,537744
176,537728
177,537760
178,537728
179,537728
180,537744
181,537760
182,537760
183,537760
184,537760
185,537776
186,537744
187,537728
188,537760
189,537744
190,537760
191,537776
192,537744
193,537728
194,537744
195,537712
196,537728
197,537712
198,537744
199,537744
200,537744
201,537744
202,537728
203,537728
204,537744
205,537728
206,537760
207,537728
208,537776
209,537728
210,537744
211,537744
212,537760
213,537728
214,537728
215,537728
216,537744
217,537744
218,537728
219,537760
220,537744
221,537776
222,537728
223,537760
224,537744
225,537728
226,537760
227,537728
228,537744
229,537760
230,537760
231,537760
232,537728
233,537744
234,537760
235,537744
236,537760
237,537728
238,537744
239,537744
240,537760
241,537728
242,537744
243,537760
244,537760
245,537760
246,537744
247,537728
248,537744
249,537760
250,537776
251,537744
252,537728
253,537760
254,537760
255,537744
256,537760
257,537744
258,537744
259,537728
260,537728
261,537760
262,537776
263,537712
264,537744
265,537744
266,537744
267,537728
268,537760
269,537728
270,537760
271,537744
272,537760
273,537728
274,537744
275,537728
276,537728
277,537744
278,537712
279,537728
280,537760
281,537728
282,537728
283,537744
284,537744
285,537728
286,537728
287,537744
288,537744
289,537728
290,537728
291,537760
292,537744
293,537728
294,537712
295,537744
296,537760
297,537712
298,537728
299,537760
300,537744
301,537728
302,537744
303,537760
304,537744
305,537728
306,537728
307,537728
308,537760
309,537728
310,537712
311,537760
312,537744
313,537744
314,537712
315,537728
316,537728
317,537744
318,537744
319,537744
320,537728
321,537728
322,537728
323,537744
324,537728
325,537760
326,537712
327,537744
328,537760
329,537744
330,537712
331,537728
332,537728
333,537728
334,537744
335,537728
336,537728
337,537744
338,537744
339,537728
340,537744
341,537728
342,537744
343,537744
344,537728
345,537728
346,537728
347,537744
348,537760
349,537728
350,537760
351,537712
352,537728
353,537744
354,537728
355,537712
356,537728
357,537760
358,537728
359,537744
360,537744
361,537728
362,537728
363,537760
364,537744
365,537776
366,537728
367,537744
368,537744
369,537728
370,537728
371,537744
372,537712
373,537744
374,537760
375,537728
376,537744
377,537744
378,537728
379,537760
380,537760
381,537728
382,537776
383,537728
384,537728
385,537744
386,537744
387,537744
388,537760
389,537712
390,537728
391,537744
392,537728
393,537760
394,537744
395,537760
396,537728
397,537744
398,537744
399,537728
400,537728
401,537760
402,537744
403,537744
404,537744
405,537744
406,537728
407,537760
408,537744
409,537728
410,537728
411,537728
412,537744
413,537728
414,537744
415,537760
416,537744
417,537744
418,537744
419,537728
420,537712
421,537744
422,537728
423,537760
424,537728
425,537728
426,537712
427,537744
428,537760
429,537728
430,537728
431,537760
432,537728
433,537760
434,537744
435,537744
436,537728
437,537760
438,537728
439,537760
440,537760
441,537728
442,537728
443,537728
444,537712
445,537776
446,537728
447,537712
448,537744
449,537744
450,537728
451,537760
452,537760
453,537728
454,537760
455,537744
456,537712
457,537760
458,537744
459,537744
460,537744
461,537744
462,537744
463,537728
464,537728
465,537728
466,537744
467,537728
468,537760
469,537744
470,537728
471,537728
472,537712
473,537728
474,537744
475,537728
476,537760
477,537712
478,537744
479,537728
480,537744
481,537760
482,537760
483,537744
484,537728
485,537728
486,537744
487,537744
488,537744
489,537744
490,537760
491,537744
492,537728
493,537696
494,537728
495,537760
496,537728
497,537712
498,537744
499,537744
500,537728
501,537760
502,537712
503,537728
504,537728
505,537744
506,537744
507,537744
508,537744
509,537728
510,537760
511,537728
512,537760
513,537744
514,537744
515,537760
516,537728
517,537728
518,537744
519,537728
520,537728
521,537760
522,537744
523,537712
524,537728
525,537712
526,537728
527,537728
528,537728
529,537728
530,537728
531,537744
532,537744
533,537760
534,537728
535,537744
536,537728
537,537712
538,537744
539,537728
540,537728
541,537728
542,537728
543,537728
544,537728
545,537744
546,537728
547,537744
548,537728
549,537744
550,537760
551,537744
552,537728
553,537760
554,537744
555,537728
556,537744
557,537712
558,537728
559,537712
560,537760
561,537728
562,537712
563,537744
564,537728
565,537728
566,537728
567,537744
568,537712
569,537744
570,537728
571,537712
572,537712
573,537728
574,537712
575,537744
576,537744
577,537728
578,537744
579,537744
580,537728
581,537728
582,537728
583,537744
584,537728
585,537728
586,537712
587,537744
588,537728
589,537728
590,537744
591,537728
592,537728
593,537760
594,537744
595,537712
596,537744
597,537744
598,537744
599,537728
600,537744
601,537728
602,537728
603,537712
604,537728
605,537728
606,537744
607,537728
608,537712
609,537744
610,537744
611,537760
612,537744
613,537728
614,537744
615,537696
616,537728
617,537744
618,537744
619,537728
620,537728
621,537760
622,537744
623,537744
624,537728
625,537744
626,537728
627,537728
628,537744
629,537728
630,537744
631,537744
632,537744
633,537760
634,537776
635,537712
636,537744
637,537728
638,537728
639,537728
640,537744
641,537728
642,537744
643,537728
644,537728
645,537728
646,537728
647,537712
648,537744
649,537744
650,537744
651,537728
652,537744
653,537760
654,537728
655,537728
656,537728
657,537744
658,537744
659,537760
660,537728
661,537744
662,537728
663,537728
664,537728
665,537728
666,537760
667,537728
668,537712
669,537728
670,537744
